date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1974,40.0
1975,40.0
1976,29.0
1977,21.0
1978,40.0
1979,40.0
1980,40.0
1981,40.0
1982,40.0
1983,40.0
1984,40.0
1985,40.0
1986,40.0
1988,40.0
1989,40.0
1990,35.0
1991,40.0
1992,40.0
1993,40.0
1994,40.0
1995,40.0
1996,40.0
1997,40.0
1998,40.0
1999,40.0
2000,40.0
2001,40.0
2002,40.0
2003,40.0
2004,40.0
2005,40.0
2006,40.0
2007,40.0
2008,40.0
2009,40.0
2010,40.0
2011,40.0
2012,40.0
2013,40.0
2014,35.0
2015,40.0
2016,40.0
2017,40.0
2018,40.0
2019,40.0
2020,40.0
2021,40.0
2022,40.0
2023,40.0
