date,maximum winter-spring oxygen recharge
1950,1.0
1951,0.0
1953,0.0
1954,0.0
1956,1.0
1957,1.0
1958,1.0
1959,1.0
1960,1.0
1961,1.0
1962,1.0
1963,0.0
1964,1.0
1965,1.0
1966,0.0
1967,1.0
1968,1.0
1969,1.0
1972,1.0
1973,0.0
1974,1.0
1975,1.0
1976,1.0
1977,0.0
1978,1.0
1980,1.0
1984,1.0
1988,1.0
1989,1.0
1990,1.0
1991,1.0
1992,1.0
1993,1.0
1994,1.0
1995,1.0
1996,1.0
1998,1.0
1999,1.0
2000,1.0
2001,1.0
2002,1.0
2003,1.0
2004,1.0
2005,1.0
2006,0.0
2007,1.0
2008,1.0
2009,1.0
2010,1.0
2011,0.0
2012,1.0
2013,1.0
2014,0.0
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,1.0
2020,1.0
2021,1.0
2022,1.0
2023,1.0
