date (yyyy-mm-dd HH:MM:SS),bottom temperature [°C]
20.01.1999 12:00,4.26
01.03.1999 12:00,2.98
30.03.1999 12:00,4.45
21.04.1999 12:00,4.97
11.05.1999 12:00,5.11
18.06.1999 12:00,5.24
20.07.1999 12:00,5.31
18.08.1999 12:00,5.38
15.09.1999 12:00,5.39
05.10.1999 12:00,5.44
12.11.1999 12:00,5.68
15.12.1999 12:00,5.87
19.01.2000 12:00,4.09
21.02.2000 12:00,3.81
21.03.2000 12:00,4.99
19.04.2000 12:00,6.05
17.05.2000 12:00,6.0
26.06.2000 12:00,6.04
25.07.2000 12:00,6.04
16.08.2000 12:00,6.09
20.09.2000 12:00,6.12
09.10.2000 12:00,6.1
13.11.2000 12:00,6.36
06.12.2000 12:00,6.32
17.01.2001 12:00,5.42
20.02.2001 12:00,4.92
27.03.2001 12:00,5.9
25.04.2001 12:00,6.8
27.06.2001 12:00,6.95
25.07.2001 12:00,6.94
21.08.2001 12:00,7.06
21.09.2001 12:00,7.07
16.10.2001 12:00,7.11
21.11.2001 12:00,7.71
03.12.2001 12:00,7.37
23.01.2002 12:00,3.28
27.02.2002 12:00,4.06
27.03.2002 12:00,5.85
17.04.2002 12:00,6.15
13.05.2002 12:00,6.33
17.06.2002 12:00,6.47
22.07.2002 12:00,6.47
19.08.2002 12:00,6.57
17.09.2002 12:00,6.58
17.10.2002 12:00,6.57
20.11.2002 12:00,7.08
18.12.2002 12:00,7.15
23.01.2003 12:00,4.74
18.02.2003 12:00,3.18
20.03.2003 12:00,4.3
16.04.2003 12:00,5.39
15.05.2003 12:00,5.48
12.06.2003 12:00,5.54
01.07.2003 12:00,5.57
13.08.2003 12:00,5.62
04.09.2003 12:00,5.64
16.10.2003 12:00,5.74
13.11.2003 12:00,5.96
09.12.2003 12:00,6.53
15.01.2004 12:00,4.99
18.02.2004 12:00,4.16
18.03.2004 12:00,3.97
15.04.2004 12:00,5.66
13.05.2004 12:00,5.97
09.06.2004 12:00,6.25
08.07.2004 12:00,6.3
11.08.2004 12:00,6.38
09.09.2004 12:00,6.45
13.10.2004 12:00,6.47
11.11.2004 12:00,6.57
09.12.2004 12:00,7.32
13.01.2005 12:00,5.18
17.02.2005 12:00,3.27
17.03.2005 12:00,3.11
13.04.2005 12:00,5.22
18.05.2005 12:00,5.38
16.06.2005 12:00,5.57
14.07.2005 12:00,5.57
10.08.2005 12:00,5.61
15.09.2005 12:00,5.7
12.10.2005 12:00,5.73
10.11.2005 12:00,5.74
07.12.2005 12:00,6.56
12.01.2006 12:00,3.76
22.02.2006 12:00,2.8
23.03.2006 12:00,2.95
12.04.2006 12:00,5.31
11.05.2006 12:00,5.03
14.06.2006 12:00,5.08
13.07.2006 12:00,5.13
16.08.2006 12:00,5.18
14.09.2006 12:00,5.22
12.10.2006 12:00,5.24
16.11.2006 12:00,5.36
13.12.2006 12:00,5.62
17.01.2007 12:00,6.03
15.02.2007 12:00,5.17
14.03.2007 12:00,5.79
12.04.2007 12:00,6.4
10.05.2007 12:00,6.33
13.06.2007 12:00,6.4
12.07.2007 12:00,6.45
09.08.2007 12:00,6.54
12.09.2007 12:00,6.58
10.10.2007 12:00,6.56
08.11.2007 12:00,6.71
13.12.2007 12:00,6.58
23.01.2008 12:00,4.41
21.02.2008 12:00,3.99
19.03.2008 12:00,5.35
17.04.2008 12:00,5.45
21.05.2008 12:00,5.79
11.06.2008 12:00,5.87
10.07.2008 12:00,5.94
07.08.2008 12:00,5.97
10.09.2008 12:00,6.06
15.10.2008 12:00,6.09
13.11.2008 12:00,6.25
10.12.2008 12:00,6.47
22.01.2009 12:00,3.33
23.02.2009 12:00,2.88
19.03.2009 12:00,3.77
08.04.2009 12:00,4.77
13.05.2009 12:00,4.78
18.06.2009 12:00,4.82
22.07.2009 12:00,4.89
19.08.2009 12:00,4.91
17.09.2009 12:00,4.95
14.10.2009 12:00,5.0
12.11.2009 12:00,5.0
09.12.2009 12:00,5.12
14.01.2010 12:00,4.01
24.02.2010 12:00,3.0
18.03.2010 12:00,2.99
14.04.2010 12:00,5.11
19.05.2010 12:00,5.84
17.06.2010 12:00,5.8
14.07.2010 12:00,5.82
18.08.2010 12:00,5.87
16.09.2010 12:00,5.9
20.10.2010 12:00,5.96
18.11.2010 12:00,6.17
15.12.2010 12:00,6.06
13.01.2011 12:00,4.26
16.02.2011 12:00,3.4
17.03.2011 12:00,4.14
20.04.2011 12:00,4.6
18.05.2011 12:00,4.65
17.06.2011 12:00,4.7
13.07.2011 12:00,4.77
22.08.2011 12:00,4.81
15.09.2011 12:00,4.83
11.10.2011 12:00,4.87
17.11.2011 12:00,4.92
19.12.2011 12:00,6.66
19.01.2012 12:00,4.82
01.03.2012 12:00,2.21
15.03.2012 12:00,3.28
12.04.2012 12:00,4.38
09.05.2012 12:00,5.74
14.06.2012 12:00,5.9
11.07.2012 12:00,6.08
16.08.2012 12:00,6.15
13.09.2012 12:00,6.18
17.10.2012 12:00,6.41
15.11.2012 12:00,6.56
12.12.2012 12:00,6.8
23.01.2013 12:00,4.9
20.02.2013 12:00,4.24
20.03.2013 12:00,3.95
17.04.2013 12:00,5.03
15.05.2013 12:00,5.07
13.06.2013 12:00,5.15
17.07.2013 12:00,5.28
21.08.2013 12:00,5.37
18.09.2013 12:00,5.36
17.10.2013 12:00,5.44
21.11.2013 12:00,5.95
11.12.2013 12:00,5.97
22.01.2014 12:00,5.31
19.02.2014 12:00,4.83
12.03.2014 12:00,5.24
16.04.2014 12:00,5.36
14.05.2014 12:00,5.74
18.06.2014 12:00,6.17
16.07.2014 12:00,6.41
20.08.2014 12:00,6.44
18.09.2014 12:00,6.47
16.10.2014 12:00,6.52
12.11.2014 12:00,6.59
10.12.2014 12:00,6.67
14.01.2015 12:00,6.16
12.02.2015 12:00,3.82
11.03.2015 12:00,4.18
09.04.2015 12:00,5.98
20.05.2015 12:00,6.12
18.06.2015 12:00,6.2
15.07.2015 12:00,6.27
12.08.2015 12:00,6.26
10.09.2015 12:00,6.33
15.10.2015 12:00,6.4
18.11.2015 12:00,6.41
16.12.2015 12:00,6.7
18.01.2016 12:00,6.08
17.02.2016 12:00,5.42
