date,do,temp,chla_rfu,phyco,par
2006-06-28,,22.2,,,
2006-06-29,,22.32,,,
2006-06-30,,22.8,,,
2006-07-01,,22.4,,,
2006-07-02,,22.38,,,
2006-07-03,,22.74,,,
2006-07-04,,23.28,,,
2006-07-05,,24.04,,,
2006-07-06,,24.16,,,
2006-07-07,,24.1,,,
2006-07-10,8.5,24.105,63.085,106.985,
2006-07-11,11.42,23.3,67.11,91.065,
2006-07-12,11.88,23.28,54.92,80.70500000000001,
2006-07-13,13.38,24.28,59.555,94.33,
2006-07-14,14.51,25.23,66.22,129.61,
2006-07-15,14.66,25.54,71.43,148.1,
2006-07-16,14.6,26.0,65.41,92.84,
2006-07-17,13.594999999999999,25.82,75.56,93.94,
2006-07-18,11.41,26.25,78.76,83.9,
2006-07-19,12.52,25.56,90.465,108.305,
2006-07-20,12.78,25.45,97.46,111.32,
2006-07-25,12.73,24.86,115.7,248.1,
2006-07-26,12.39,24.79,118.5,242.4,
2006-07-27,13.03,25.35,122.4,281.5,
2006-07-28,12.53,25.005000000000003,106.4,229.7,
2006-07-29,14.45,26.06,98.75,173.0,
2006-07-30,14.64,26.66,95.7,169.05,
2006-07-31,13.79,26.52,95.05,163.6,
2006-08-01,,,97.9,176.85000000000002,
2006-08-02,,,97.2,172.1,
2006-08-03,,,98.3,181.8,
2006-08-04,10.37,27.7,102.5,158.0,
2006-08-05,10.34,26.72,103.7,175.0,
2006-08-06,9.75,26.57,118.2,174.79,
2006-08-07,9.49,26.36,144.67,205.44,
2006-08-08,10.08,26.37,116.47,165.7,
2006-08-09,10.155000000000001,25.9,119.35,164.36,
2006-08-10,10.16,26.27,115.03,153.53,
2006-08-11,9.34,25.560000000000002,126.475,215.39499999999998,
2006-08-12,9.45,25.225,128.65,209.215,
2006-08-13,9.8,25.025,133.09,186.57,
2006-08-14,9.63,24.9,139.07,196.43,
2006-08-15,9.32,24.75,147.64,190.85,
2006-08-16,8.17,24.835,151.32,156.46499999999997,
