gauge_id,log_area,elev_mean,aridity,p_mean,frac_snow,runoff_ratio,pet_mean,forest_frac,crop_frac,urban_frac
2009,8.564153110279515,2124.19,0.44,3.558,0.436,0.868,1.564,0.1997,0.024300000000000002,0.0335
2011,8.123676416823914,2286.71,0.442,3.401,0.474,0.787,1.502,0.1648,0.023799999999999998,0.0277
2016,9.36583015480467,1002.4,0.467,3.653,0.109,0.637,1.707,0.28990000000000005,0.3155,0.0727
2018,8.127640801768122,1257.46,0.365,4.354,0.182,0.817,1.588,0.2622,0.1636,0.055999999999999994
2019,6.3211279417998645,2127.2,0.238,5.068,0.503,1.119,1.208,0.1449,0.0058,0.0062
2029,9.017919993304814,1144.17,0.442,3.784,0.135,0.668,1.671,0.2748,0.2601,0.055
2030,7.808038572710475,1738.89,0.317,4.415,0.325,0.891,1.399,0.2082,0.026000000000000002,0.024900000000000002
2033,6.652863029353346,2026.59,0.325,4.191,0.396,0.875,1.36,0.1778,0.0102,0.0092
2034,6.032846384886751,723.4,0.548,3.3,0.042,0.489,1.809,0.2336,0.6899,0.056299999999999996
2044,7.439911773449956,773.37,0.414,3.834,0.074,0.619,1.588,0.2829,0.297,0.08439999999999999
2056,6.726473181762845,2005.65,0.295,4.595,0.447,0.965,1.358,0.1316,0.011899999999999999,0.010700000000000001
2067,7.569669757110984,2341.9,0.472,2.645,0.397,0.9,1.249,0.1542,0.0027,0.0102
2068,7.3866567051634835,1643.22,0.439,4.49,0.218,0.844,1.971,0.4443,0.0241,0.0282
2070,6.095824562432225,1071.37,0.392,4.266,0.135,0.537,1.674,0.4347,0.2053,0.0123
2084,5.76079272937298,1363.49,0.288,5.389,0.223,0.97,1.55,0.25239999999999996,0.1085,0.0279
2085,8.5395220368993,1367.24,0.388,3.997,0.188,0.732,1.551,0.24530000000000002,0.17629999999999998,0.0495
2091,10.448146325638414,1071.33,0.453,3.728,0.141,0.695,1.69,0.29840000000000005,0.2114,0.0728
2104,6.968379900798571,1579.67,0.3,4.9,0.305,0.862,1.468,0.2666,0.0161,0.0219
2106,6.789309523775655,733.04,0.604,3.379,0.069,0.449,2.039,0.48729999999999996,0.2866,0.0732
2109,5.944634959751184,2039.2,0.261,4.85,0.425,0.892,1.268,0.2058,0.0029,0.0108
2112,4.32280727501391,1253.32,0.275,5.225,0.187,0.754,1.439,0.2891,0.0073,0.026000000000000002
2113,9.78064737607173,1061.68,0.43,3.903,0.13,,1.677,0.2857,0.2639,0.0748
2126,4.395682961121367,653.6,0.477,3.547,0.055,0.543,1.692,0.31560000000000005,0.3185,0.12689999999999999
2130,10.43444810132247,1078.15,0.415,3.865,0.198,0.723,1.606,0.29619999999999996,0.2109,0.0725
2135,7.986912879816111,1590.98,0.34,4.247,0.276,0.848,1.446,0.2207,0.0836,0.0363
2139,5.169915651743512,717.8,0.434,4.014,0.057,1.411,1.74,0.2893,0.2808,0.1466
2143,9.596969185738052,1135.56,0.468,3.566,0.172,0.731,1.67,0.2856,0.1501,0.0719
2150,6.421134343912963,1797.79,0.412,3.536,0.327,0.937,1.456,0.2798,0.021400000000000002,0.016
2152,7.720905251936778,1499.73,0.335,4.599,0.26,0.905,1.543,0.242,0.050300000000000004,0.0378
2159,4.763028270603671,851.29,0.458,3.424,0.063,0.581,1.569,0.22619999999999998,0.3567,0.065
2161,5.280662431309316,2929.36,0.139,5.578,0.668,1.164,0.776,0.0095,0.0,0.0
2167,6.413622878157806,804.3,0.519,4.852,0.043,0.626,2.518,0.5971,0.046,0.139
2170,7.5892346546744,1373.77,0.438,4.069,0.196,0.799,1.781,0.36379999999999996,0.11349999999999999,0.0904
2174,9.241228387509578,1569.92,0.491,3.612,0.292,0.798,1.775,0.26130000000000003,0.09960000000000001,0.07339999999999999
2176,5.8394781901101,1046.83,0.326,4.944,0.134,0.346,1.614,0.4108,0.2076,0.0644
2179,5.864199196062105,1075.48,0.42,3.921,0.1,0.541,1.647,0.3317,0.31329999999999997,0.0165
2181,6.990256500493881,913.5,0.348,4.366,0.108,0.683,1.517,0.3075,0.11560000000000001,0.0751
2205,9.773054213127937,1066.12,0.428,3.91,0.131,0.697,1.675,0.28490000000000004,0.26239999999999997,0.0745
2210,7.151798894404088,960.04,0.419,4.137,0.108,0.534,1.733,0.4218,0.21,0.0495
2232,3.3945083935113587,1857.5,0.287,4.286,0.315,0.844,1.229,0.0897,0.0,0.0
2243,7.781013241038872,1131.03,0.356,4.577,0.159,0.786,1.628,0.2919,0.1401,0.1005
2256,4.212127597878484,2700.58,0.317,3.036,0.516,1.256,0.964,0.0461,0.0,0.0008
2265,7.366318718085316,2383.15,0.448,2.694,0.412,0.398,1.206,0.136,0.0028000000000000004,0.0113
2269,4.361823927356362,2615.39,0.261,4.293,0.587,1.246,1.121,0.023700000000000002,0.0,0.0
2276,3.8044377947482086,1811.45,0.281,4.692,0.351,0.736,1.32,0.23840000000000003,0.0043,0.0
2282,0.4700036292457355,1075.41,0.466,4.519,0.14,0.545,2.106,1.0,0.0,0.0
2288,9.382880916915031,1244.54,0.464,3.564,0.234,0.747,1.655,0.2805,0.1063,0.0602
2290,4.6549122778829055,1117.45,0.38,4.199,0.153,0.937,1.594,0.445,0.0716,0.0038
2307,4.853591544486569,1043.59,0.474,3.727,0.141,0.761,1.766,0.3779,0.3368,0.0429
2308,3.939638172461119,839.38,0.432,3.911,0.078,0.597,1.691,0.32870000000000005,0.0736,0.1444
2327,3.7819143200811256,2371.21,0.408,2.749,0.435,1.245,1.123,0.017,0.0,0.0
2343,4.109233174715851,765.18,0.444,3.556,0.084,0.491,1.578,0.1578,0.7875,0.0541
2347,2.2082744135228043,1702.84,0.366,4.681,0.216,1.133,1.713,0.45,0.0,0.0
2351,6.667974086514904,2641.94,0.46,3.011,0.54,0.63,1.385,0.1215,0.0029,0.0113
2356,3.214867803470662,1985.58,0.274,5.083,0.344,1.001,1.393,0.1936,0.0,0.0
2366,2.7146947438208784,2285.03,0.339,3.809,0.418,0.863,1.289,0.0,0.0,0.0
2369,4.666265285347902,682.62,0.612,3.006,0.041,0.429,1.84,0.2593,0.6795,0.0368
2372,6.3989276578788195,1736.39,0.273,5.063,0.357,0.915,1.383,0.2202,0.0029,0.0177
2374,4.489759334476763,962.01,0.315,4.734,0.132,0.664,1.489,0.3969,0.0051,0.0152
2386,5.367376902479531,595.73,0.525,3.247,0.047,0.483,1.703,0.2879,0.4839,0.1229
2392,9.384587753502563,1243.19,0.465,3.562,0.234,,1.656,0.2807,0.10679999999999999,0.0604
2410,4.749270529961848,859.93,0.638,3.519,0.086,1.04,2.245,0.452,0.2167,0.1765
2414,1.4350845252893225,801.95,0.371,4.102,0.086,0.68,1.522,0.2224,0.0,0.0
2415,6.036437912750713,505.86,0.579,3.202,0.035,0.516,1.853,0.215,0.4165,0.2802
2432,5.43197375136071,695.58,0.609,3.201,0.038,0.476,1.949,0.30660000000000004,0.5614,0.0737
2433,4.666265285347902,962.04,0.491,3.994,0.09,1.101,1.962,0.46909999999999996,0.3309,0.0545
2434,5.458734087953942,714.71,0.569,3.369,0.071,0.376,1.916,0.4653,0.2691,0.113
2457,7.037554716516981,1940.25,0.273,4.833,0.422,0.972,1.321,0.1984,0.0131,0.0155
2462,6.424869023905387,2459.88,0.434,2.815,0.434,1.042,1.22,0.0929,0.0037,0.0219
2467,7.540249712330132,1134.97,0.428,3.826,0.115,,1.638,0.27770000000000006,0.2732,0.0482
2473,8.748050911870257,1770.67,0.412,3.638,0.306,0.88,1.498,0.2748,0.0334,0.0345
2481,5.433722003554239,1604.12,0.313,4.601,0.278,1.017,1.438,0.2576,0.0165,0.0173
2485,5.361292165709425,568.91,0.665,3.048,0.04,0.42,2.028,0.3788,0.47609999999999997,0.09369999999999999
2493,4.794136285500715,1036.5,0.489,4.289,0.1,0.274,2.098,0.5671,0.2139,0.0579
2500,4.220977213155466,676.63,0.554,3.215,0.045,0.401,1.781,0.2193,0.5671,0.2023
2604,3.493472657771326,1008.24,0.333,4.902,0.118,0.603,1.631,0.4199,0.36479999999999996,0.0195
2606,8.987584245603237,1658.22,0.497,3.534,0.303,0.79,1.757,0.23689999999999997,0.0858,0.0617
2608,2.4336133554004498,612.34,0.459,3.278,0.038,0.534,1.504,0.1103,0.8155,0.0742
2609,3.8649313978942956,1161.19,0.304,5.33,0.157,0.756,1.62,0.4968,0.2391,0.053899999999999997
2612,3.8177123259569044,1710.5,0.356,5.424,0.188,1.017,1.929,0.4824,0.0023,0.0
2613,10.502472394270166,1049.18,0.484,3.646,0.125,0.675,1.765,0.30809999999999993,0.21280000000000002,0.0748
2615,10.48924438093555,1053.91,0.46,3.706,0.136,,1.705,0.30450000000000005,0.2151,0.0745
2617,4.864452783918174,2188.92,0.62,2.259,0.316,0.776,1.402,0.20809999999999998,0.0,0.0083
2623,4.546481189639412,2458.29,0.207,5.328,0.619,,1.106,0.0344,0.0,0.0007000000000000001
2634,6.1723267061655855,1057.82,0.367,4.424,0.137,0.617,1.625,0.3983,0.25739999999999996,0.0264
2635,2.2925347571405443,1285.8,0.326,5.4,0.186,0.707,1.761,0.6192,0.1264,0.0
