date,temp_sensor,pH_sensor,ec_sensor,O2C_sensor
1981-01-01,,,,
1981-01-02,,,,
1981-01-03,,,,
1981-01-04,,,,
1981-01-05,,,,
1981-01-06,,,,
1981-01-07,,,,
1981-01-08,,,,
1981-01-09,,,,
1981-01-10,,,,
1981-01-11,,,,
1981-01-12,,,,
1981-01-13,,,,
1981-01-14,,,,
1981-01-15,,,,
1981-01-16,,,,
1981-01-17,,,,
1981-01-18,,,,
1981-01-19,,,,
1981-01-20,,,,
1981-01-21,,,,
1981-01-22,,,,
1981-01-23,,,,
1981-01-24,,,,
1981-01-25,,,,
1981-01-26,,,,
1981-01-27,,,,
1981-01-28,,,,
1981-01-29,,,,
1981-01-30,,,,
1981-01-31,,,,
1981-02-01,,,,
1981-02-02,,,,
1981-02-03,,,,
1981-02-04,,,,
1981-02-05,,,,
1981-02-06,,,,
1981-02-07,,,,
1981-02-08,,,,
1981-02-09,,,,
1981-02-10,,,,
1981-02-11,,,,
1981-02-12,,,,
1981-02-13,,,,
1981-02-14,,,,
1981-02-15,,,,
1981-02-16,,,,
1981-02-17,,,,
1981-02-18,,,,
1981-02-19,,,,
1981-02-20,,,,
1981-02-21,,,,
1981-02-22,,,,
1981-02-23,,,,
1981-02-24,,,,
1981-02-25,,,,
1981-02-26,,,,
1981-02-27,,,,
1981-02-28,,,,
1981-03-01,,,,
1981-03-02,,,,
1981-03-03,,,,
1981-03-04,,,,
1981-03-05,,,,
1981-03-06,,,,
1981-03-07,,,,
1981-03-08,,,,
1981-03-09,,,,
1981-03-10,,,,
1981-03-11,,,,
1981-03-12,,,,
1981-03-13,,,,
1981-03-14,,,,
1981-03-15,,,,
1981-03-16,,,,
1981-03-17,,,,
1981-03-18,,,,
1981-03-19,,,,
1981-03-20,,,,
1981-03-21,,,,
1981-03-22,,,,
1981-03-23,,,,
1981-03-24,,,,
1981-03-25,,,,
1981-03-26,,,,
1981-03-27,,,,
1981-03-28,,,,
1981-03-29,,,,
1981-03-30,,,,
1981-03-31,,,,
1981-04-01,,,,
1981-04-02,,,,
1981-04-03,,,,
1981-04-04,,,,
1981-04-05,,,,
1981-04-06,,,,
1981-04-07,,,,
1981-04-08,,,,
1981-04-09,,,,
1981-04-10,,,,
1981-04-11,,,,
1981-04-12,,,,
1981-04-13,,,,
1981-04-14,,,,
1981-04-15,,,,
1981-04-16,,,,
1981-04-17,,,,
1981-04-18,,,,
1981-04-19,,,,
1981-04-20,,,,
1981-04-21,,,,
1981-04-22,,,,
1981-04-23,,,,
1981-04-24,,,,
1981-04-25,,,,
1981-04-26,,,,
1981-04-27,,,,
1981-04-28,,,,
1981-04-29,,,,
1981-04-30,,,,
1981-05-01,,,,
1981-05-02,,,,
1981-05-03,,,,
1981-05-04,,,,
1981-05-05,,,,
1981-05-06,,,,
1981-05-07,,,,
1981-05-08,,,,
1981-05-09,,,,
1981-05-10,,,,
1981-05-11,,,,
1981-05-12,,,,
1981-05-13,,,,
1981-05-14,,,,
1981-05-15,,,,
1981-05-16,,,,
1981-05-17,,,,
1981-05-18,,,,
1981-05-19,,,,
1981-05-20,,,,
1981-05-21,,,,
1981-05-22,,,,
1981-05-23,,,,
1981-05-24,,,,
1981-05-25,,,,
1981-05-26,,,,
1981-05-27,,,,
1981-05-28,,,,
1981-05-29,,,,
1981-05-30,,,,
1981-05-31,,,,
1981-06-01,,,,
1981-06-02,,,,
1981-06-03,,,,
1981-06-04,,,,
1981-06-05,,,,
1981-06-06,,,,
1981-06-07,,,,
1981-06-08,,,,
1981-06-09,,,,
1981-06-10,,,,
1981-06-11,,,,
1981-06-12,,,,
1981-06-13,,,,
1981-06-14,,,,
1981-06-15,,,,
1981-06-16,,,,
1981-06-17,,,,
1981-06-18,,,,
1981-06-19,,,,
1981-06-20,,,,
1981-06-21,,,,
1981-06-22,,,,
1981-06-23,,,,
1981-06-24,,,,
1981-06-25,,,,
1981-06-26,,,,
1981-06-27,,,,
1981-06-28,,,,
1981-06-29,,,,
1981-06-30,,,,
1981-07-01,,,,
1981-07-02,,,,
1981-07-03,,,,
1981-07-04,,,,
1981-07-05,,,,
1981-07-06,,,,
1981-07-07,,,,
1981-07-08,,,,
1981-07-09,,,,
1981-07-10,,,,
1981-07-11,,,,
1981-07-12,,,,
1981-07-13,,,,
1981-07-14,,,,
1981-07-15,,,,
1981-07-16,,,,
1981-07-17,,,,
1981-07-18,,,,
1981-07-19,,,,
1981-07-20,,,,
1981-07-21,,,,
1981-07-22,,,,
1981-07-23,,,,
1981-07-24,,,,
1981-07-25,,,,
1981-07-26,,,,
1981-07-27,,,,
1981-07-28,,,,
1981-07-29,,,,
1981-07-30,,,,
1981-07-31,,,,
1981-08-01,,,,
1981-08-02,,,,
1981-08-03,,,,
1981-08-04,,,,
1981-08-05,,,,
1981-08-06,,,,
1981-08-07,,,,
1981-08-08,,,,
1981-08-09,,,,
1981-08-10,,,,
1981-08-11,,,,
1981-08-12,,,,
1981-08-13,,,,
1981-08-14,,,,
1981-08-15,,,,
1981-08-16,,,,
1981-08-17,,,,
1981-08-18,,,,
1981-08-19,,,,
1981-08-20,,,,
1981-08-21,,,,
1981-08-22,,,,
1981-08-23,,,,
1981-08-24,,,,
1981-08-25,,,,
1981-08-26,,,,
1981-08-27,,,,
1981-08-28,,,,
1981-08-29,,,,
1981-08-30,,,,
