gauge_id,country,gauge_name,water_body_name,id6,water_body_type,gauge_lon,gauge_lat,gauge_easting,gauge_northing,gauge_elevation,area,elev_mean,elev_min,elev_percentile10,elev_percentile25,elev_percentile50,elev_percentile75,elev_percentile90,elev_max,slope_mean,flat_area_perc,steep_area_perc,ind_start_date,ind_end_date,ind_number_of_years,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,sign_start_date,sign_end_date,sign_number_of_years,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index_landson,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,sand_perc,sand_perc_5,sand_perc_25,sand_perc_50,sand_perc_75,sand_perc_90,sand_perc_skewness,sand_perc_missing,silt_perc,silt_perc_5,silt_perc_25,silt_perc_50,silt_perc_75,silt_perc_90,silt_perc_skewness,silt_perc_missing,clay_perc,clay_perc_5,clay_perc_25,clay_perc_50,clay_perc_75,clay_perc_90,clay_perc_skewness,clay_perc_missing,organic_perc,organic_perc_5,organic_perc_25,organic_perc_50,organic_perc_75,organic_perc_90,organic_perc_skewness,organic_perc_missing,bulk_dens,bulk_dens_5,bulk_dens_25,bulk_dens_50,bulk_dens_75,bulk_dens_90,bulk_dens_skewness,bulk_dens_missing,tot_avail_water,tot_avail_water_5,tot_avail_water_25,tot_avail_water_50,tot_avail_water_75,tot_avail_water_90,tot_avail_water_skewness,tot_avail_water_missing,root_depth,root_depth_5,root_depth_25,root_depth_50,root_depth_75,root_depth_90,root_depth_skewness,root_depth_missing,coarse_fragm_perc,coarse_fragm_perc_5,coarse_fragm_perc_25,coarse_fragm_perc_50,coarse_fragm_perc_75,coarse_fragm_perc_90,coarse_fragm_perc_skewness,coarse_fragm_perc_missing,porosity,porosity_5,porosity_25,porosity_50,porosity_75,porosity_90,porosity_skewness,porosity_missing,conductivity,conductivity_5,conductivity_25,conductivity_50,conductivity_75,conductivity_90,conductivity_skewness,conductivity_missing,geo_porosity,geo_log10_permeability,unconsol_sediments,siliciclastic_sedimentary,mixed_sedimentary,carbonate_sedimentary,pyroclastic,acid_volcanic,basic_volcanic,acid_plutonic,intermediate_plutonic,basic_plutonic,metamorphics,water_geo,ice_geo,crop_perc,grass_perc,scrub_perc,dwood_perc,mixed_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,dom_land_cover,glac_area,glac_vol,glac_mass,glac_area_neighbours,n_inhabitants,dens_inhabitants,hp_count,hp_qturb,hp_inst_turb,hp_max_power,num_reservoir,reservoir_cap,reservoir_he,reservoir_fs,reservoir_irr,reservoir_nousedata,reservoir_year_first,reservoir_year_last,unconsol_coarse_perc,unconsol_medium_perc,unconsol_fine_perc,unconsol_imperm_perc,hardrock_perc,hardrock_imperm_perc,karst_perc,water_perc,null_perc,ext_area_perc
2004,CH,Murten,Murtensee,MuSMur,lake,7.12,46.93,2575500,1197790,431.0,712.7,644.6,428.75,444.02,501.91,645.4,747.73,835.77,1499.39,5.53,38.15,5.23,1981-10-01,2020-09-30,39,3.059,1.827,0.597,0.159,0.039,19.487,1.169,jja,230.637,4.219,son,,,0,,,,,,,,,,,,,,45.563,37.508,40.467,41.076,44.085,74.961,0.376,2.8,32.7,13.588,32.777,34.576,35.442,35.969,-0.252,2.8,21.737,10.039,20.18,24.156,24.96,26.872,-0.448,2.8,1.484,0.408,0.54,0.599,0.707,1.141,0.165,2.8,1.386,1.347,1.376,1.387,1.416,1.575,-0.004,2.8,99.623,73.999,95.416,96.461,104.021,110.097,0.146,2.8,1.246,0.998,1.185,1.233,1.282,1.436,0.054,0.0,11.923,3.438,6.408,12.421,16.515,16.841,-0.101,2.8,44.855,43.727,44.267,44.724,45.289,46.383,0.157,2.79,81.482,6.437,68.524,74.878,116.623,141.626,0.175,2.79,0.101,-13.413,46.32,0.0,48.71,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,68.15,1.17,0.5,0.67,13.5,5.94,0.0,3.18,0.0,0.0,0.0,6.87,crop_perc,0.0,0.0,0.0,0.0,124387,174.529,0,0.0,0.0,0.0,0,0.0,,,,,,,0.67,2.34,41.48,1.83,28.43,21.85,0.28,3.12,0.0,0.0
2007,CH,Le_Pont,Lac_de_Joux,LdJLeP,lake,6.32,46.67,2514700,1168840,1002.0,209.3,1228.27,999.58,1043.15,1112.37,1235.46,1328.3,1400.98,1660.32,8.13,21.39,12.76,1981-10-01,2020-09-30,39,4.983,1.84,0.369,-0.118,0.17,18.282,1.213,djf,208.868,3.841,son,,,0,,,,,,,,,,,,,,61.991,38.69,44.119,62.879,76.283,77.718,-0.053,3.05,23.523,13.007,15.164,15.951,35.726,41.85,0.635,3.05,14.485,6.982,7.832,16.061,20.148,27.04,-0.241,3.05,4.084,0.437,0.589,0.789,1.285,20.031,0.314,3.05,1.374,0.769,1.363,1.432,1.532,1.61,-0.159,3.05,96.715,50.833,77.614,84.779,113.262,162.376,0.3,3.05,1.117,0.366,1.001,1.101,1.2,1.28,0.048,0.0,6.332,2.917,4.43,5.615,8.787,11.393,0.215,3.05,49.508,47.485,49.088,49.639,50.151,50.647,-0.138,3.17,32.419,3.892,9.937,28.97,55.072,79.319,0.13,3.17,0.07,-12.08,7.17,0.0,8.33,80.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.0,6.39,21.93,0.67,1.25,8.53,52.46,1.64,4.71,0.0,0.0,0.0,2.41,ewood_perc,0.0,0.0,0.0,0.0,10091,48.213,0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,0.0,7.34,3.2,8.73,0.88,75.59,4.26,0.0,0.0
2009,CH,Porte_du_Scex,Rhône,RhoPor,stream,6.89,46.35,2557660,1133280,377.0,5239.4,2124.19,377.07,1015.99,1560.86,2191.36,2698.04,3103.99,4521.34,25.72,3.62,79.6,1981-10-01,2020-09-30,39,3.558,1.564,0.44,0.078,0.436,18.41,1.223,jja,216.894,3.793,son,1981-10-01,2020-09-30,39,3.09,0.868,0.767,1.296,0.787,243.282,1.279,6.207,0.0,0.0,0.051,2.0,0.0,67.988,36.154,54.949,72.942,78.241,87.653,-0.296,39.83,20.676,8.347,13.644,17.632,26.263,38.846,0.285,39.83,11.336,4.295,8.121,9.389,13.135,24.025,0.3,39.83,0.944,0.378,0.443,0.786,1.312,2.303,0.276,39.83,1.55,1.352,1.418,1.583,1.608,1.737,-0.252,39.83,69.593,17.606,42.929,70.22,103.495,113.55,-0.018,39.83,0.563,0.012,0.06,0.267,1.192,1.278,0.498,0.0,9.976,2.637,3.86,8.422,15.822,20.737,0.221,39.83,45.708,22.657,43.182,48.119,50.14,53.049,-0.316,4.19,36.593,26.699,27.583,29.476,31.819,81.072,0.325,4.19,0.045,-13.843,17.12,6.97,6.65,21.46,0.0,0.0,1.42,4.14,0.0,0.36,31.73,0.38,9.76,2.46,19.09,1.97,0.42,2.92,19.78,3.45,0.34,13.82,8.99,23.64,3.12,rock_perc,646.801,51.11699,43449.438,0.8562,342692,65.407,33,408.24,3286.43,3131.05,32,1228703.0,0.999,0.0,0.001,0.0,1914.0,1989.0,1.13,1.97,13.86,0.18,32.3,30.95,9.05,10.55,0.0,0.01
2011,CH,Sion,Rhône,RhoSio,stream,7.36,46.22,2593770,1118630,499.0,3372.4,2286.71,485.83,1209.13,1778.17,2379.66,2821.9,3208.04,4521.34,25.82,2.83,80.15,1981-10-01,2020-09-30,39,3.401,1.502,0.442,0.106,0.474,17.795,1.244,son,222.022,3.859,son,1981-10-01,2020-09-30,39,2.675,0.787,0.8,2.39,0.751,263.667,0.821,6.681,0.051,1.0,0.436,1.0,0.0,68.06,36.264,55.641,73.374,78.133,87.654,-0.311,45.21,20.656,8.346,13.621,17.722,28.769,40.663,0.267,45.21,11.284,4.297,8.24,9.343,12.721,24.006,0.303,45.21,0.975,0.426,0.444,0.8,1.332,2.326,0.305,45.21,1.559,1.359,1.486,1.587,1.597,1.737,-0.225,45.21,64.604,16.382,37.101,69.509,102.345,114.609,-0.135,45.21,0.473,0.01,0.052,0.137,1.041,1.248,0.586,0.0,11.031,2.663,3.937,9.941,17.061,20.199,0.149,45.21,45.247,22.442,40.427,48.12,50.552,53.462,-0.342,5.92,34.908,26.649,27.49,29.062,31.515,80.018,0.303,5.92,0.038,-14.154,15.04,6.39,4.48,15.83,0.0,0.0,2.21,4.12,0.0,0.57,38.11,0.32,12.92,2.55,17.98,1.02,0.1,1.7,18.38,2.25,0.28,17.92,8.81,26.45,2.57,rock_perc,536.4564,44.15646,37532.988,0.0412,174543,51.756,17,147.42,852.13,823.35,20,676429.0,0.998,0.0,0.002,0.0,1927.0,1989.0,0.22,1.89,12.849,0.09,32.147,33.177,6.009,13.619,0.0,0.0
2014,CH,Schmerikon,Zürichsee_(Obersee),ZuSSch,lake,8.94,47.22,2713710,1231515,402.0,1583.5,1331.63,401.92,448.27,753.15,1312.1,1842.57,2202.29,3557.05,22.1,11.86,65.23,1981-10-01,2020-09-30,39,4.869,1.537,0.316,0.279,0.223,15.641,1.175,jja,196.817,3.448,son,,,0,,,,,,,,,,,,,,63.662,38.021,43.862,69.489,74.629,82.409,-0.368,17.04,21.999,8.692,15.78,17.841,34.419,37.305,0.421,17.04,14.339,5.737,9.466,13.67,19.83,25.457,0.098,17.04,1.151,0.346,0.428,0.57,0.792,1.358,0.136,17.04,1.489,1.359,1.385,1.524,1.567,1.67,-0.193,17.04,84.988,28.69,73.569,93.315,105.015,113.069,-0.301,17.04,0.952,0.028,0.514,1.195,1.262,1.409,-0.446,0.0,9.34,2.742,4.571,8.41,14.362,19.226,0.157,17.04,48.837,40.509,47.609,49.703,51.136,52.619,-0.231,3.47,25.776,2.682,15.659,27.791,29.936,64.595,-0.112,3.47,0.091,-12.894,18.33,12.62,25.64,38.41,0.0,0.42,0.0,0.19,0.01,0.0,0.17,3.38,0.83,7.72,33.41,0.08,0.74,14.15,15.21,3.66,3.41,1.45,5.85,10.16,4.16,grass_perc,20.904,0.98429,836.65,0.0,202866,128.112,9,368.55,1814.52,1858.18,9,328210.0,1.0,0.0,0.0,0.0,1910.0,2015.0,1.87,2.41,13.83,0.22,24.17,32.02,21.27,4.21,0.0,0.0
2016,CH,Brugg,Aare,AarBru,stream,8.19,47.48,2657000,1259360,341.0,11681.3,1002.4,336.9,461.14,568.54,791.46,1253.59,1847.46,4084.22,12.83,23.13,32.95,1981-10-01,2020-09-30,39,3.653,1.707,0.467,0.162,0.109,15.41,1.16,jja,201.894,3.625,son,1981-10-01,2020-09-30,39,2.327,0.637,1.122,1.131,0.786,201.974,1.044,4.562,0.0,0.0,0.0,0.0,0.0,51.798,36.484,40.537,43.219,70.283,78.005,0.514,11.4,29.174,11.075,16.782,34.453,35.35,43.303,-0.49,11.4,19.028,7.227,14.222,20.058,24.384,27.121,-0.139,11.4,1.621,0.38,0.517,0.614,0.765,1.696,0.18,11.4,1.404,1.22,1.374,1.389,1.51,1.626,0.069,11.4,96.879,48.088,86.914,96.714,107.874,114.376,0.006,11.4,1.083,0.043,1.154,1.21,1.265,1.393,-0.282,0.0,9.458,2.794,4.785,8.789,14.101,16.862,0.124,11.4,46.367,43.183,44.606,46.062,48.598,50.863,0.096,3.62,52.259,2.803,27.685,50.933,74.854,126.135,0.035,3.62,0.075,-12.787,35.11,0.01,26.7,30.07,0.0,0.0,0.0,1.01,0.0,0.0,2.08,3.61,1.4,32.9,17.22,0.82,1.38,14.85,14.27,0.79,3.74,2.01,1.54,3.62,6.86,crop_perc,190.5194,13.08887,11125.543,0.0,2376486,203.444,18,660.48,1506.8,1453.5,18,608560.0,1.0,0.0,0.0,0.0,1920.0,1973.0,4.2,5.14,23.75,2.09,23.78,18.89,17.12,5.02,0.0,0.01
2017,CH,Zug,Zugersee,ZuSZug,lake,8.51,47.17,2681555,1224660,413.0,250.0,692.5,410.58,410.58,436.37,613.75,882.34,1071.92,1760.42,9.65,35.18,25.93,1981-10-01,2020-09-30,39,3.952,1.775,0.449,0.417,0.05,17.666,1.162,jja,215.073,3.66,son,,,0,,,,,,,,,,,,,,47.703,36.613,40.481,41.217,50.024,68.08,0.538,16.8,31.849,18.827,27.586,34.509,35.141,37.574,-0.382,16.8,20.448,10.822,15.755,24.142,24.8,25.426,-0.617,16.8,1.106,0.387,0.445,0.58,0.619,0.72,0.115,16.8,1.413,1.365,1.377,1.385,1.482,1.548,0.171,16.8,97.26,77.209,95.432,97.681,104.828,108.805,-0.036,16.8,1.052,0.167,1.018,1.148,1.278,1.452,-0.194,0.0,10.591,2.74,4.745,11.395,14.492,16.772,-0.15,16.8,47.507,43.69,46.299,47.466,48.85,51.149,0.019,16.17,34.559,2.905,5.002,28.532,56.292,107.041,0.173,16.17,0.117,-13.37,40.67,0.0,42.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28,0.0,23.15,19.8,0.45,0.0,13.86,13.22,0.3,18.27,0.0,0.18,0.0,10.75,crop_perc,0.0,0.0,0.0,0.0,120844,483.376,0,0.0,0.0,0.0,0,0.0,,,,,,,0.84,12.259,24.888,2.69,17.618,24.428,0.0,17.278,0.0,0.0
2018,CH,Mellingen,Reuss,ReuMel,stream,8.27,47.42,2662830,1252580,349.0,3385.8,1257.46,348.09,440.17,600.14,1130.52,1777.54,2312.89,3597.23,19.15,15.24,56.07,1981-10-01,2020-09-30,39,4.354,1.588,0.365,0.264,0.182,15.0,1.177,jja,196.202,3.405,son,1981-10-01,2020-09-30,39,3.556,0.817,1.045,1.781,0.767,237.41,1.189,7.4,0.0,0.0,0.0,0.0,0.0,58.452,36.408,41.164,60.797,72.927,82.382,-0.13,19.28,25.647,9.952,16.116,26.206,34.606,38.027,-0.048,19.28,15.901,5.748,9.734,14.644,24.116,26.843,0.17,19.28,0.955,0.38,0.442,0.589,0.812,1.578,0.128,19.28,1.473,1.357,1.384,1.508,1.56,1.67,-0.223,19.28,89.205,33.554,79.35,95.462,105.817,113.384,-0.226,19.28,0.943,0.025,0.293,1.189,1.257,1.389,-0.448,0.0,9.327,2.745,4.551,8.464,14.241,18.693,0.148,19.28,48.066,40.265,45.842,48.837,51.294,52.941,-0.177,5.16,31.426,2.682,15.86,28.917,32.535,79.493,0.097,5.16,0.077,-13.092,24.29,0.41,24.4,28.46,0.0,0.73,0.0,5.38,0.1,0.0,9.62,4.99,1.62,11.9,28.75,0.89,0.67,12.22,14.23,3.39,5.21,2.47,4.94,9.97,5.37,grass_perc,73.6138,3.93646,3345.994,0.0,676753,199.88,6,79.55,262.0,255.2,11,113349.0,1.0,0.0,0.0,0.0,1910.0,1975.0,1.97,5.58,15.75,0.99,27.16,25.01,16.93,6.61,0.0,0.0
2019,CH,Brienzwiler,Aare,AarBri,stream,8.09,46.75,2649930,1177380,587.0,555.2,2127.2,573.36,1171.15,1683.87,2187.08,2624.05,2954.97,4084.22,27.72,2.88,82.16,1981-10-01,2020-09-30,39,5.068,1.208,0.238,0.068,0.503,16.307,1.207,son,198.74,3.406,son,1981-10-01,2020-09-30,39,5.671,1.119,0.589,2.332,0.754,255.538,1.532,12.104,0.077,1.5,5.769,2.394,0.0,74.515,50.017,70.956,75.494,80.542,86.324,-0.079,63.29,16.32,8.738,10.769,15.373,18.493,37.159,0.114,63.29,9.165,4.469,6.346,9.239,10.594,17.459,-0.016,63.29,0.835,0.395,0.45,0.735,1.02,1.379,0.235,63.29,1.59,1.373,1.531,1.587,1.646,1.719,0.027,63.29,72.395,21.538,68.554,70.565,102.877,113.297,0.057,63.29,0.385,0.008,0.039,0.077,1.021,1.244,0.535,0.0,8.72,2.924,4.091,4.823,12.867,19.454,0.582,63.29,46.561,38.302,40.337,50.333,51.74,53.384,-0.513,8.07,26.74,16.032,27.204,27.533,28.953,31.988,-0.113,8.07,0.028,-14.349,5.8,0.03,3.28,21.66,0.0,0.05,0.0,18.7,0.0,0.0,34.55,1.02,14.91,0.6,20.19,0.0,0.79,7.74,6.28,5.7,1.09,20.86,7.87,28.45,0.44,rock_perc,95.667,7.28598,6193.079,0.0,7542,13.584,11,335.4,1308.8,1279.4,7,212650.0,1.0,0.0,0.0,0.0,1929.0,1958.0,0.96,0.77,3.96,0.11,54.89,10.76,12.52,16.03,0.0,0.0
2020,CH,Bellinzona,Ticino,TicBel,stream,9.01,46.19,2721245,1117025,222.0,1517.5,1679.21,221.6,754.09,1259.84,1764.53,2153.67,2438.17,3346.44,28.9,2.96,85.55,1981-10-01,2020-09-30,39,4.551,1.874,0.412,0.368,0.228,20.512,1.401,son,234.97,4.508,djf,1981-10-01,2020-09-30,39,3.692,0.811,1.013,1.694,0.683,223.718,1.11,8.963,1.462,1.326,1.385,1.174,0.0,70.681,40.808,64.519,73.304,78.394,87.666,-0.176,21.28,18.866,8.334,12.12,17.55,25.471,35.7,0.138,21.28,10.453,4.237,8.392,9.369,10.906,23.438,0.189,21.28,0.996,0.423,0.442,0.838,1.409,2.105,0.281,21.28,1.579,1.376,1.549,1.587,1.597,1.737,-0.068,21.28,58.468,16.186,30.66,68.042,83.486,105.389,-0.29,21.28,0.64,0.02,0.104,0.518,1.191,1.278,0.217,0.0,11.643,2.635,3.726,13.726,17.156,20.231,-0.278,21.28,48.902,39.745,47.719,50.613,51.753,53.006,-0.371,0.18,29.762,26.924,27.47,27.984,28.791,29.437,0.162,0.18,0.023,-13.696,11.5,0.65,6.6,9.38,0.0,0.0,0.0,1.26,0.0,0.0,70.24,0.34,0.02,1.97,20.0,0.03,13.14,4.17,27.16,9.02,0.29,0.36,8.55,13.2,2.1,ewood_perc,3.6958,0.10961,93.169,0.0,49038,32.315,8,98.2,562.83,553.85,13,184940.0,1.0,0.0,0.0,0.0,1918.0,1968.0,3.92,1.62,5.96,0.0,35.7,48.9,3.54,0.36,0.0,0.0
